sku;nome_prodotto;file_locale;url_immagine
pinza-stringivalli-2;Pinza Stringivalli;immagini/pinza-stringivalli-2/01.jpg;https://www.hdnails.it/media/catalog/product/cache/41dd4ace1b7b4560332c5c55820b15f0/w/o/woo_img_6960ab9b61662_1.jpg
pinza-stringivalli-2;Pinza Stringivalli;immagini/pinza-stringivalli-2/02.jpg;https://www.hdnails.it/media/catalog/product/cache/41dd4ace1b7b4560332c5c55820b15f0/w/o/woo_img_6960ab9b8dc5f_1.jpg
pinza-stringivalli-2;Pinza Stringivalli;immagini/pinza-stringivalli-2/03.jpg;https://www.hdnails.it/media/catalog/product/cache/41dd4ace1b7b4560332c5c55820b15f0/w/o/woo_img_6960ab9bc3d25_1.jpg
videocorso-completo;Videocorso Completo;immagini/videocorso-completo/01.jpg;https://www.hdnails.it/media/catalog/product/cache/41dd4ace1b7b4560332c5c55820b15f0/w/o/woo_img_6960aba0e3b7c_1.jpg
videocorso-completo-giftcard;Videocorso Completo+GiftCard;immagini/videocorso-completo-giftcard/01.jpg;https://www.hdnails.it/media/catalog/product/cache/41dd4ace1b7b4560332c5c55820b15f0/w/o/woo_img_6960aba363235_1.jpg
polvere-chrome-1-new;Polvere Chrome 1 new;immagini/polvere-chrome-1-new/01.jpg;https://www.hdnails.it/media/catalog/product/cache/41dd4ace1b7b4560332c5c55820b15f0/w/o/woo_img_6960abbcd0889_1.jpg
polvere-chrome-3-new;Polvere Chrome 3 new;immagini/polvere-chrome-3-new/01.jpg;https://www.hdnails.it/media/catalog/product/cache/41dd4ace1b7b4560332c5c55820b15f0/w/o/woo_img_6960abc11d45a_1.jpg
polvere-chrome-4-new;Polvere Chrome 4 new;immagini/polvere-chrome-4-new/01.jpg;https://www.hdnails.it/media/catalog/product/cache/41dd4ace1b7b4560332c5c55820b15f0/w/o/woo_img_6960abc3454f3_1.jpg
polvere-chrome-4-new;Polvere Chrome 4 new;immagini/polvere-chrome-4-new/02.jpg;https://www.hdnails.it/media/catalog/product/cache/41dd4ace1b7b4560332c5c55820b15f0/w/o/woo_img_6960abc399639_1.jpg
polvere-chrome-4-new;Polvere Chrome 4 new;immagini/polvere-chrome-4-new/03.jpg;https://www.hdnails.it/media/catalog/product/cache/41dd4ace1b7b4560332c5c55820b15f0/w/o/woo_img_6960abc3ef0d1_1.jpg
polvere-chrome-5-new;Polvere Chrome 5 new;immagini/polvere-chrome-5-new/01.jpg;https://www.hdnails.it/media/catalog/product/cache/41dd4ace1b7b4560332c5c55820b15f0/w/o/woo_img_6960abd2a0573_1.jpg
polvere-chrome-6-new;Polvere Chrome 6 new;immagini/polvere-chrome-6-new/01.jpg;https://www.hdnails.it/media/catalog/product/cache/41dd4ace1b7b4560332c5c55820b15f0/w/o/woo_img_6960abd4a824b_1.jpg
polvere-chrome-7-new;Polvere Chrome 7 new;immagini/polvere-chrome-7-new/01.jpg;https://www.hdnails.it/media/catalog/product/cache/41dd4ace1b7b4560332c5c55820b15f0/w/o/woo_img_6960abd6a0072_1.jpg
polvere-chrome-8-new;Polvere Chrome 8 new;immagini/polvere-chrome-8-new/01.jpg;https://www.hdnails.it/media/catalog/product/cache/41dd4ace1b7b4560332c5c55820b15f0/w/o/woo_img_6960abd8c12ff_1.jpg
polvere-chrome-8-new;Polvere Chrome 8 new;immagini/polvere-chrome-8-new/02.jpg;https://www.hdnails.it/media/catalog/product/cache/41dd4ace1b7b4560332c5c55820b15f0/w/o/woo_img_6960abd917849_1.jpg
polvere-chrome-9-new;Polvere Chrome 9 new;immagini/polvere-chrome-9-new/01.jpg;https://www.hdnails.it/media/catalog/product/cache/41dd4ace1b7b4560332c5c55820b15f0/w/o/woo_img_6960abe131686_1.jpg
polvere-chrome-9-new;Polvere Chrome 9 new;immagini/polvere-chrome-9-new/02.jpg;https://www.hdnails.it/media/catalog/product/cache/41dd4ace1b7b4560332c5c55820b15f0/w/o/woo_img_6960abe1884c3_1.jpg
polvere-chrome-9-new;Polvere Chrome 9 new;immagini/polvere-chrome-9-new/03.jpg;https://www.hdnails.it/media/catalog/product/cache/41dd4ace1b7b4560332c5c55820b15f0/w/o/woo_img_6960abe1dd7d9_1.jpg
polvere-chrome-9-new;Polvere Chrome 9 new;immagini/polvere-chrome-9-new/04.jpg;https://www.hdnails.it/media/catalog/product/cache/41dd4ace1b7b4560332c5c55820b15f0/w/o/woo_img_6960abe234a6f_1.jpg
polvere-chrome-10-new;Polvere Chrome 10 new;immagini/polvere-chrome-10-new/01.jpg;https://www.hdnails.it/media/catalog/product/cache/41dd4ace1b7b4560332c5c55820b15f0/w/o/woo_img_6960abf8d96e0_1.jpg
polvere-chrome-11-new;Polvere Chrome 11 new;immagini/polvere-chrome-11-new/01.jpg;https://www.hdnails.it/media/catalog/product/cache/41dd4ace1b7b4560332c5c55820b15f0/w/o/woo_img_6960abfaedecc_1.jpg
polvere-chrome-12-new;Polvere Chrome 12 new;immagini/polvere-chrome-12-new/01.jpg;https://www.hdnails.it/media/catalog/product/cache/41dd4ace1b7b4560332c5c55820b15f0/w/o/woo_img_6960abfd1ce55_1.jpg
polvere-chrome-12-new;Polvere Chrome 12 new;immagini/polvere-chrome-12-new/02.jpg;https://www.hdnails.it/media/catalog/product/cache/41dd4ace1b7b4560332c5c55820b15f0/w/o/woo_img_6960abfd73c04_1.jpg
polvere-chrome-12-new;Polvere Chrome 12 new;immagini/polvere-chrome-12-new/03.jpg;https://www.hdnails.it/media/catalog/product/cache/41dd4ace1b7b4560332c5c55820b15f0/w/o/woo_img_6960abfdccc8f_1.jpg
polvere-chrome-12-new;Polvere Chrome 12 new;immagini/polvere-chrome-12-new/04.jpg;https://www.hdnails.it/media/catalog/product/cache/41dd4ace1b7b4560332c5c55820b15f0/w/o/woo_img_6960abfe3100e_1.jpg
polvere-chrome-12-new;Polvere Chrome 12 new;immagini/polvere-chrome-12-new/05.jpg;https://www.hdnails.it/media/catalog/product/cache/41dd4ace1b7b4560332c5c55820b15f0/w/o/woo_img_6960abfe86e3a_1.jpg
polvere-chrome-13-new;Polvere Chrome 13 new;immagini/polvere-chrome-13-new/01.jpg;https://www.hdnails.it/media/catalog/product/cache/41dd4ace1b7b4560332c5c55820b15f0/w/o/woo_img_6960ac194d2cf_1.jpg
polvere-chrome-14-new;Polvere Chrome 14 new;immagini/polvere-chrome-14-new/01.jpg;https://www.hdnails.it/media/catalog/product/cache/41dd4ace1b7b4560332c5c55820b15f0/w/o/woo_img_6960ac1b78054_1.jpg
super-lac-pearl-gloss-1;top coat Super Lac Pearl Gloss 1;immagini/super-lac-pearl-gloss-1/01.jpg;https://www.hdnails.it/media/catalog/product/cache/41dd4ace1b7b4560332c5c55820b15f0/w/o/woo_img_6960ac1d8096d_1.jpg
super-lac-pearl-gloss-2;top coat Super Lac Pearl Gloss 2;immagini/super-lac-pearl-gloss-2/01.jpg;https://www.hdnails.it/media/catalog/product/cache/41dd4ace1b7b4560332c5c55820b15f0/w/o/woo_img_6960ac1f7cb19_1.jpg
super-lac-pearl-gloss-3;top coat Super Lac Pearl Gloss 3;immagini/super-lac-pearl-gloss-3/01.jpg;https://www.hdnails.it/media/catalog/product/cache/41dd4ace1b7b4560332c5c55820b15f0/w/o/woo_img_6960ac21829db_1.jpg
super-lac-pearl-gloss-4;top coat Super Lac Pearl Gloss 4;immagini/super-lac-pearl-gloss-4/01.jpg;https://www.hdnails.it/media/catalog/product/cache/41dd4ace1b7b4560332c5c55820b15f0/w/o/woo_img_6960ac2379605_1.jpg
super-lac-pearl-gloss-5;top coat Super Lac Pearl Gloss 5;immagini/super-lac-pearl-gloss-5/01.jpg;https://www.hdnails.it/media/catalog/product/cache/41dd4ace1b7b4560332c5c55820b15f0/w/o/woo_img_6960ac2697e66_1.jpg
punta-flame-fascia-blu;Punta Flame Fascia Blu;immagini/punta-flame-fascia-blu/01.jpg;https://www.hdnails.it/media/catalog/product/cache/41dd4ace1b7b4560332c5c55820b15f0/w/o/woo_img_6960ac2d55398_1.jpg
punta-flame-fascia-verde;Punta Flame Fascia Verde;immagini/punta-flame-fascia-verde/01.jpg;https://www.hdnails.it/media/catalog/product/cache/41dd4ace1b7b4560332c5c55820b15f0/w/o/woo_img_6960ac2f5cbab_1.jpg
punta-sottocuticola-a-punta;Punta Sottocuticola a punta;immagini/punta-sottocuticola-a-punta/01.jpg;https://www.hdnails.it/media/catalog/product/cache/41dd4ace1b7b4560332c5c55820b15f0/w/o/woo_img_6960ac3189eb7_1.jpg
punta-carbide-cono;Punta Carbide Cono;immagini/punta-carbide-cono/01.jpg;https://www.hdnails.it/media/catalog/product/cache/41dd4ace1b7b4560332c5c55820b15f0/w/o/woo_img_6960ac337cbf8_1.jpg
punta-sottoscalino-fascia-blu;Punta Sottoscalino Fascia Blu;immagini/punta-sottoscalino-fascia-blu/01.jpg;https://www.hdnails.it/media/catalog/product/cache/41dd4ace1b7b4560332c5c55820b15f0/w/o/woo_img_6960ac3591d9e_1.jpg
fresa-per-unghie-professionale-ricaricabile-3;Fresa per unghie Professionale Ricaricabile;immagini/fresa-per-unghie-professionale-ricaricabile-3/01.jpg;https://www.hdnails.it/media/catalog/product/cache/41dd4ace1b7b4560332c5c55820b15f0/w/o/woo_img_6960ac37d4dd3_1.jpg
fresa-per-unghie-professionale-ricaricabile-3;Fresa per unghie Professionale Ricaricabile;immagini/fresa-per-unghie-professionale-ricaricabile-3/02.jpg;https://www.hdnails.it/media/catalog/product/cache/41dd4ace1b7b4560332c5c55820b15f0/w/o/woo_img_6960ac381294d_1.jpg
fresa-per-unghie-professionale-ricaricabile-3;Fresa per unghie Professionale Ricaricabile;immagini/fresa-per-unghie-professionale-ricaricabile-3/03.jpg;https://www.hdnails.it/media/catalog/product/cache/41dd4ace1b7b4560332c5c55820b15f0/w/o/woo_img_6960ac384ab88_1.jpg
fresa-per-unghie-professionale-ricaricabile-3;Fresa per unghie Professionale Ricaricabile;immagini/fresa-per-unghie-professionale-ricaricabile-3/04.jpg;https://www.hdnails.it/media/catalog/product/cache/41dd4ace1b7b4560332c5c55820b15f0/w/o/woo_img_6960ac3881d8f_1.jpg
fresa-per-unghie-professionale-ricaricabile-3;Fresa per unghie Professionale Ricaricabile;immagini/fresa-per-unghie-professionale-ricaricabile-3/05.jpg;https://www.hdnails.it/media/catalog/product/cache/41dd4ace1b7b4560332c5c55820b15f0/w/o/woo_img_6960ac38b9602_1.jpg
fresa-per-unghie-professionale-ricaricabile-3;Fresa per unghie Professionale Ricaricabile;immagini/fresa-per-unghie-professionale-ricaricabile-3/06.jpg;https://www.hdnails.it/media/catalog/product/cache/41dd4ace1b7b4560332c5c55820b15f0/h/q/hqdefault_4_18.jpg
liquid-polygel-super-lac-1;Liquid Polygel Super Lac 1 - Gel Costruttore in bottiglia;immagini/liquid-polygel-super-lac-1/01.jpg;https://www.hdnails.it/media/catalog/product/cache/41dd4ace1b7b4560332c5c55820b15f0/w/o/woo_img_6960ac40a256e_1.jpg
liquid-polygel-super-lac-2;Liquid Polygel Super Lac 2 - Gel Costuttore in bottiglia;immagini/liquid-polygel-super-lac-2/01.jpg;https://www.hdnails.it/media/catalog/product/cache/41dd4ace1b7b4560332c5c55820b15f0/w/o/woo_img_6960ac4294b25_1.jpg
liquid-polygel-super-lac-3;Liquid Polygel Super Lac 3 - Gel Costruttore in bottiglia;immagini/liquid-polygel-super-lac-3/01.jpg;https://www.hdnails.it/media/catalog/product/cache/41dd4ace1b7b4560332c5c55820b15f0/w/o/woo_img_6960ac4490877_1.jpg
liquid-polygel-super-lac-4;Liquid Polygel Super Lac 4 - Gel Costruttore in bottiglia;immagini/liquid-polygel-super-lac-4/01.jpg;https://www.hdnails.it/media/catalog/product/cache/41dd4ace1b7b4560332c5c55820b15f0/w/o/woo_img_6960ac46a5d7b_1.jpg
liquid-polygel-super-lac-5;Liquid Polygel Super Lac 5 - Gel Costruttore in bottiglia;immagini/liquid-polygel-super-lac-5/01.jpg;https://www.hdnails.it/media/catalog/product/cache/41dd4ace1b7b4560332c5c55820b15f0/w/o/woo_img_6960ac48a2b9a_1.jpg
liquid-polygel-super-lac-6;Liquid Polygel Super Lac 6 - Gel Costruttore in bottiglia;immagini/liquid-polygel-super-lac-6/01.jpg;https://www.hdnails.it/media/catalog/product/cache/41dd4ace1b7b4560332c5c55820b15f0/w/o/woo_img_6960ac4a7b84c_1.jpg
liquid-polygel-super-lac-7;Liquid Polygel Super Lac 7 - Gel Costruttore in bottiglia;immagini/liquid-polygel-super-lac-7/01.jpg;https://www.hdnails.it/media/catalog/product/cache/41dd4ace1b7b4560332c5c55820b15f0/w/o/woo_img_6960ac4c85002_1.jpg
monofase-flexy-cover;Monofase Flexy Cover - Gel Costruttore;immagini/monofase-flexy-cover/01.png;https://www.hdnails.it/media/catalog/product/cache/41dd4ace1b7b4560332c5c55820b15f0/w/o/woo_img_6960ac4eb66c6.png
monofase-flexy-cover;Monofase Flexy Cover - Gel Costruttore;immagini/monofase-flexy-cover/02.png;https://www.hdnails.it/media/catalog/product/cache/41dd4ace1b7b4560332c5c55820b15f0/w/o/woo_img_6960ac4f097aa.png
monofase-flexy-cover;Monofase Flexy Cover - Gel Costruttore;immagini/monofase-flexy-cover/03.png;https://www.hdnails.it/media/catalog/product/cache/41dd4ace1b7b4560332c5c55820b15f0/w/o/woo_img_6960ac4f5c883.png
monofase-flexy-cover;Monofase Flexy Cover - Gel Costruttore;immagini/monofase-flexy-cover/04.jpg;https://www.hdnails.it/media/catalog/product/cache/41dd4ace1b7b4560332c5c55820b15f0/h/q/hqdefault_1_1.jpg
jelly-white-perfect-french;Jelly White Perfect French - Gel Costruttore;immagini/jelly-white-perfect-french/01.jpg;https://www.hdnails.it/media/catalog/product/cache/41dd4ace1b7b4560332c5c55820b15f0/j/e/jelly_white_perfect_french.jpg
jelly-white-perfect-french;Jelly White Perfect French - Gel Costruttore;immagini/jelly-white-perfect-french/02.jpg;https://www.hdnails.it/media/catalog/product/cache/41dd4ace1b7b4560332c5c55820b15f0/j/e/jelly_white_perfect_french_b.jpg
jelly-white-perfect-french;Jelly White Perfect French - Gel Costruttore;immagini/jelly-white-perfect-french/03.jpg;https://www.hdnails.it/media/catalog/product/cache/41dd4ace1b7b4560332c5c55820b15f0/j/e/jelly_white_perfect_french_c.jpg
